title,genre
D.P. Season 2,Military
D.P. Season 2,Drama
Hometown Cha-Cha-Cha,Comedy
Hometown Cha-Cha-Cha,Romance
Hometown Cha-Cha-Cha,Life
Hometown Cha-Cha-Cha,Drama
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",Historical
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",Romance
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",Fantasy
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",Political
The Guest,Thriller
The Guest,Mystery
The Guest,Horror
The Guest,Supernatural
Strong Woman Do Bong Soon,Action
Strong Woman Do Bong Soon,Comedy
Strong Woman Do Bong Soon,Romance
Strong Woman Do Bong Soon,Supernatural
The Penthouse: War in Life,Thriller
The Penthouse: War in Life,Mystery
The Penthouse: War in Life,Drama
While You Were Sleeping,Mystery
While You Were Sleeping,Romance
While You Were Sleeping,Drama
While You Were Sleeping,Supernatural
The Penthouse Season 2: War in Life,Thriller
The Penthouse Season 2: War in Life,Mystery
The Penthouse Season 2: War in Life,Drama
Dr. Romantic,Romance
Dr. Romantic,Drama
Dr. Romantic,Medical
Defendant,Thriller
Defendant,Mystery
Defendant,Law
Defendant,Drama
"Kill Me, Heal Me",Psychological
"Kill Me, Heal Me",Comedy
"Kill Me, Heal Me",Romance
"Kill Me, Heal Me",Drama
My Name,Action
My Name,Thriller
My Name,Mystery
My Name,Crime
Bloodhounds,Action
Bloodhounds,Thriller
Bloodhounds,Crime
Bloodhounds,Drama
Business Proposal,Comedy
Business Proposal,Romance
Business Proposal,Drama
The Kidnapping Day,Thriller
The Kidnapping Day,Mystery
The Kidnapping Day,Comedy
The Kidnapping Day,Drama
The King of Pigs,Thriller
The King of Pigs,Mystery
The King of Pigs,Drama
The Worst of Evil,Action
The Worst of Evil,Thriller
The Worst of Evil,Mystery
The Worst of Evil,Crime
Missing: The Other Side,Thriller
Missing: The Other Side,Mystery
Missing: The Other Side,Supernatural
Strangers from Hell,Thriller
Strangers from Hell,Horror
Strangers from Hell,Psychological
Strangers from Hell,Drama
Chicago Typewriter,Comedy
Chicago Typewriter,Romance
Chicago Typewriter,Supernatural
Chicago Typewriter,Political
Revenant,Thriller
Revenant,Mystery
Revenant,Horror
Revenant,Supernatural
Our Beloved Summer,Romance
Our Beloved Summer,Life
Our Beloved Summer,Youth
Our Beloved Summer,Drama
18 Again,Romance
18 Again,Life
18 Again,Drama
18 Again,Fantasy
Our Blues,Romance
Our Blues,Life
Our Blues,Drama
Our Blues,Melodrama
Hot Stove League,Life
Hot Stove League,Drama
Hot Stove League,Sports
My Perfect Stranger,Mystery
My Perfect Stranger,Romance
My Perfect Stranger,Drama
My Perfect Stranger,Sci-Fi
The Fiery Priest,Action
The Fiery Priest,Mystery
The Fiery Priest,Comedy
The Fiery Priest,Crime
Descendants of the Sun,Action
Descendants of the Sun,Comedy
Descendants of the Sun,Romance
Descendants of the Sun,Melodrama
Tunnel,Thriller
Tunnel,Mystery
Tunnel,Sci-Fi
Tunnel,Fantasy
The First Responders Season 2,Action
The First Responders Season 2,Thriller
The First Responders Season 2,Mystery
The First Responders Season 2,Drama
Hotel del Luna,Horror
Hotel del Luna,Comedy
Hotel del Luna,Romance
Hotel del Luna,Fantasy
Live,Romance
Live,Life
Live,Drama
Children of Nobody,Thriller
Children of Nobody,Mystery
Children of Nobody,Psychological
Children of Nobody,Drama
Law School,Mystery
Law School,Law
Law School,Crime
Law School,Drama
Ghost Doctor,Comedy
Ghost Doctor,Medical
Ghost Doctor,Fantasy
Ghost Doctor,Supernatural
Welcome to Samdal-ri,Comedy
Welcome to Samdal-ri,Romance
Welcome to Samdal-ri,Life
Welcome to Samdal-ri,Drama
Eulachacha Waikiki,Comedy
Eulachacha Waikiki,Life
Eulachacha Waikiki,Youth
Eulachacha Waikiki,Drama
Juvenile Justice,Law
Juvenile Justice,Drama
All of Us Are Dead,Action
All of Us Are Dead,Thriller
All of Us Are Dead,Horror
All of Us Are Dead,Sci-Fi
Go Back Couple,Comedy
Go Back Couple,Romance
Go Back Couple,Life
Go Back Couple,Fantasy
My Liberation Notes,Romance
My Liberation Notes,Life
My Liberation Notes,Drama
My Liberation Notes,Melodrama
Duty after School: Part 1,Action
Duty after School: Part 1,Thriller
Duty after School: Part 1,Drama
Duty after School: Part 1,Sci-Fi
Once Again,Comedy
Once Again,Romance
Once Again,Life
Once Again,Drama
Good Manager,Business
Good Manager,Comedy
Good Manager,Crime
Good Manager,Drama
Big Mouth,Thriller
Big Mouth,Mystery
Big Mouth,Law
Big Mouth,Drama
Stranger Season 2,Thriller
Stranger Season 2,Mystery
Stranger Season 2,Law
Stranger Season 2,Drama
My Father Is Strange,Comedy
My Father Is Strange,Romance
My Father Is Strange,Drama
Blind,Thriller
Blind,Mystery
Blind,Drama
Vigilante,Action
Vigilante,Thriller
Vigilante,Psychological
Vigilante,Crime
Designated Survivor: 60 Days,Thriller
Designated Survivor: 60 Days,Mystery
Designated Survivor: 60 Days,Drama
Designated Survivor: 60 Days,Political
Bad and Crazy,Action
Bad and Crazy,Thriller
Bad and Crazy,Mystery
Bad and Crazy,Comedy
Money Heist: Korea - Joint Economic Area - Part 2,Action
Money Heist: Korea - Joint Economic Area - Part 2,Thriller
Money Heist: Korea - Joint Economic Area - Part 2,Mystery
Money Heist: Korea - Joint Economic Area - Part 2,Crime
Beautiful World,Thriller
Beautiful World,Mystery
Beautiful World,Life
Beautiful World,Melodrama
Age of Youth,Comedy
Age of Youth,Romance
Age of Youth,Life
Age of Youth,Drama
Arthdal Chronicles Part 1: The Children of Prophecy,Historical
Arthdal Chronicles Part 1: The Children of Prophecy,Romance
Arthdal Chronicles Part 1: The Children of Prophecy,Fantasy
Arthdal Chronicles Part 1: The Children of Prophecy,Political
Vagabond,Action
Vagabond,Thriller
Vagabond,Mystery
Vagabond,Crime
Rebel: Thief Who Stole the People,Action
Rebel: Thief Who Stole the People,Thriller
Rebel: Thief Who Stole the People,Historical
Voice,Thriller
Voice,Mystery
Voice,Psychological
Voice,Supernatural
Reborn Rich,Business
Reborn Rich,Drama
Reborn Rich,Fantasy
Reborn Rich,Political
"Hi Bye, Mama!",Drama
"Hi Bye, Mama!",Family
"Hi Bye, Mama!",Melodrama
"Hi Bye, Mama!",Supernatural
Avengers Social Club,Comedy
Avengers Social Club,Life
Avengers Social Club,Drama
Just Between Lovers,Psychological
Just Between Lovers,Romance
Just Between Lovers,Melodrama
One Dollar Lawyer,Comedy
One Dollar Lawyer,Law
One Dollar Lawyer,Drama
What's Wrong with Secretary Kim,Business
What's Wrong with Secretary Kim,Comedy
What's Wrong with Secretary Kim,Romance
Perfect Marriage Revenge,Business
Perfect Marriage Revenge,Romance
Perfect Marriage Revenge,Drama
Perfect Marriage Revenge,Fantasy
365: Repeat the Year,Thriller
365: Repeat the Year,Mystery
365: Repeat the Year,Drama
365: Repeat the Year,Fantasy
Boyhood,Action
Boyhood,Thriller
Boyhood,Comedy
Boyhood,Youth
Mystic Pop-Up Bar,Mystery
Mystic Pop-Up Bar,Comedy
Mystic Pop-Up Bar,Drama
Mystic Pop-Up Bar,Fantasy
Revenge of Others,Action
Revenge of Others,Thriller
Revenge of Others,Mystery
Revenge of Others,Drama
Doctor John,Mystery
Doctor John,Romance
Doctor John,Life
Doctor John,Medical
Save Me,Action
Save Me,Thriller
Save Me,Mystery
Save Me,Drama
Nobody Knows,Thriller
Nobody Knows,Mystery
Nobody Knows,Drama
Nobody Knows,Melodrama
W,Thriller
W,Comedy
W,Romance
W,Fantasy
Fight for My Way,Business
Fight for My Way,Comedy
Fight for My Way,Romance
Fight for My Way,Sports
Kairos,Action
Kairos,Thriller
Kairos,Drama
Kairos,Sci-Fi
Partners for Justice,Thriller
Partners for Justice,Mystery
Partners for Justice,Law
Partners for Justice,Medical
Little Women,Action
Little Women,Thriller
Little Women,Mystery
Little Women,Drama
Voice Season 2,Thriller
Voice Season 2,Mystery
Voice Season 2,Psychological
Voice Season 2,Supernatural
Recipe for Farewell,Food
Recipe for Farewell,Life
Recipe for Farewell,Drama
Love to Hate You,Comedy
Love to Hate You,Law
Love to Hate You,Romance
Doom at Your Service,Comedy
Doom at Your Service,Romance
Doom at Your Service,Drama
Doom at Your Service,Fantasy
Thirty but Seventeen,Music
Thirty but Seventeen,Mystery
Thirty but Seventeen,Comedy
Thirty but Seventeen,Romance
Mad for Each Other,Comedy
Mad for Each Other,Romance
Mad for Each Other,Drama
Squid Game,Action
Squid Game,Thriller
Squid Game,Mystery
Squid Game,Drama
Itaewon Class,Business
Itaewon Class,Romance
Itaewon Class,Life
Itaewon Class,Drama
One Ordinary Day,Thriller
One Ordinary Day,Mystery
One Ordinary Day,Law
One Ordinary Day,Crime
Tell Me That You Love Me,Romance
Tell Me That You Love Me,Life
Tell Me That You Love Me,Drama
Tell Me That You Love Me,Melodrama
Pachinko,Historical
Pachinko,Romance
Pachinko,Drama
Pachinko,Melodrama
"It's Okay, That's Friendship",Comedy
"It's Okay, That's Friendship",Life
Love All Play,Romance
Love All Play,Drama
Love All Play,Sports
Love All Play,Melodrama
Because This Is My First Life,Comedy
Because This Is My First Life,Romance
Because This Is My First Life,Life
Because This Is My First Life,Drama
Castaway Diva,Music
Castaway Diva,Comedy
Castaway Diva,Romance
Castaway Diva,Drama
Gyeongseong Creature,Action
Gyeongseong Creature,Thriller
Gyeongseong Creature,Historical
Gyeongseong Creature,Sci-Fi
Dali and the Cocky Prince,Comedy
Dali and the Cocky Prince,Romance
Dali and the Cocky Prince,Drama
Lost,Life
Lost,Drama
Lost,Melodrama
Angel's Last Mission: Love,Comedy
Angel's Last Mission: Love,Romance
Angel's Last Mission: Love,Drama
Angel's Last Mission: Love,Fantasy
Circle,Thriller
Circle,Mystery
Circle,Sci-Fi
Seasons of Blossom,Romance
Seasons of Blossom,Youth
Seasons of Blossom,Drama
If You Wish Upon Me,Romance
If You Wish Upon Me,Life
If You Wish Upon Me,Drama
If You Wish Upon Me,Medical
Summer Strike,Life
Summer Strike,Drama
Summer Strike,Melodrama
Snowdrop,Romance
Snowdrop,Drama
Snowdrop,Melodrama
Snowdrop,Political
The Crowned Clown,Historical
The Crowned Clown,Romance
The Crowned Clown,Melodrama
The Crowned Clown,Political
Duel,Thriller
Duel,Mystery
Duel,Sci-Fi
"Work Later, Drink Now",Comedy
"Work Later, Drink Now",Life
"Work Later, Drink Now",Drama
When the Camellia Blooms,Thriller
When the Camellia Blooms,Comedy
