title,genres,where_to_watch
Partners for Justice Season 2,"Mystery, Law, Drama, Medical","Netflix, VIU Indonesia, Viki, Kocowa"
Dr. Romantic Season 2,"Romance, Drama, Medical, Melodrama","Apple TV, Netflix, WeTV, Viki, VIU Indonesia, Kocowa"
SKY Castle,"Mystery, Psychological, Drama","Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Prime Video, TVer, TVING"
Youth of May,"Romance, Youth, Drama, Melodrama","Netflix, Viki, Prime Video, Kocowa"
Beyond Evil,"Thriller, Mystery, Psychological, Drama","Disney+ Hotstar, Netflix, WeTV, Viki, VIU Indonesia, Prime Video, Tubi"
Through the Darkness,"Thriller, Mystery, Drama","Apple TV, Viki, Prime Video, Netflix, VIU Indonesia, Kocowa"
The Devil Judge,"Mystery, Law, Crime, Drama","Netflix, WeTV, Viki, iQIYI, TVING, VIU Indonesia"
Moon Lovers: Scarlet Heart Ryeo,"Historical, Romance, Fantasy, Melodrama","Prime Video, VIU Indonesia, SBS VOD, Wavve, Viki"
Racket Boys,"Comedy, Life, Drama, Sports",Netflix
Arthdal Chronicles Part 3: The Prelude to All Legends,"Historical, Romance, Fantasy, Political",Netflix
Life on Mars,"Action, Mystery, Psychological, Comedy",Disney+
Dear My Friends,"Life, Drama, Melodrama","Apple TV, Disney+ Hotstar, Netflix, Prime Video, Tubi"
The First Responders,"Action, Thriller, Mystery, Drama","Apple TV, Disney+ Hotstar, Disney+, Hulu"
Six Flying Dragons,"Action, Historical, Drama, Political","Netflix, Viki, Prime Video, SBS VOD, SBS World"
Sweet Home,"Action, Horror, Drama, Sci-Fi",Netflix
D.P. Season 2,"Action, Military, Drama",Netflix
Hometown Cha-Cha-Cha,"Comedy, Romance, Life, Drama","Netflix, TVING"
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land","Historical, Romance, Fantasy, Political",Netflix
The Guest,"Thriller, Mystery, Horror, Supernatural","Apple TV, Netflix, WeTV, Tubi, Roku"
Strong Woman Do Bong Soon,"Action, Comedy, Romance, Supernatural","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Prime Video, VIU Indonesia"
The Penthouse: War in Life,"Thriller, Mystery, Drama","Apple TV, Netflix, WeTV, Viki, iQIYI, Prime Video, VIU Indonesia, Kocowa"
While You Were Sleeping,"Mystery, Romance, Drama, Supernatural","Apple TV, Netflix, WeTV, Viki, iQIYI, Hulu, iflix, VIU Indonesia, Kocowa"
The Penthouse Season 2: War in Life,"Thriller, Mystery, Drama","Netflix, WeTV, Viki, iQIYI, Prime Video, Kocowa"
Dr. Romantic,"Romance, Drama, Medical","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, SBS VOD, Wavve, SBS World, HBO Max, Kocowa"
Defendant,"Thriller, Mystery, Law, Drama","Netflix, Viki, VIU Indonesia, SBS VOD, Kocowa"
"Kill Me, Heal Me","Psychological, Comedy, Romance, Drama","Apple TV, Netflix, WeTV, Viki, China Huace TV, Kocowa"
My Name,"Action, Thriller, Mystery, Crime",Netflix
Bloodhounds,"Action, Thriller, Crime, Drama",Netflix
A Business Proposal,"Comedy, Romance, Drama","Netflix, Wavve"
The Kidnapping Day,"Thriller, Mystery, Comedy, Drama","Prime Video, TVING"
The King of Pigs,"Thriller, Mystery, Drama","Apple TV, Prime Video, TVING"
The Worst of Evil,"Action, Thriller, Mystery, Crime","Disney+, Disney+ Hotstar, Hulu"
Missing: The Other Side,"Thriller, Mystery, Supernatural","Viki, iQIYI, VIU Indonesia, Netflix"
Strangers from Hell,"Thriller, Horror, Psychological, Drama","Apple TV, Prime Video, VIU Indonesia, Roku, Tubi"
Chicago Typewriter,"Comedy, Romance, Supernatural, Political","WeTV, Viki, Tubi"
Revenant,"Thriller, Mystery, Horror, Supernatural","Apple TV, Disney+ Hotstar, Hulu"
Our Beloved Summer,"Romance, Life, Youth, Drama","Netflix, Wavve"
18 Again,"Romance, Life, Drama, Fantasy","Netflix, WeTV, iQIYI, TVING, HBO Max"
Our Blues,"Romance, Life, Drama, Melodrama","Netflix, TVING"
Hot Stove League,"Life, Drama, Sports","Netflix, Viki, VIU Indonesia, Kocowa"
My Perfect Stranger,"Mystery, Romance, Drama, Sci-Fi","Wavve, Viki, VIU Indonesia, Kocowa"
The Fiery Priest,"Action, Mystery, Comedy, Crime","Apple TV, Netflix, Viki, SBS World, Kocowa"
Descendants of the Sun,"Action, Comedy, Romance, Melodrama","Apple TV, Netflix, WeTV, Viki, iQIYI, Hulu, iflix, VIU Indonesia"
Tunnel,"Thriller, Mystery, Sci-Fi, Fantasy","Apple TV, Netflix, WeTV, Viki, Tubi, Roku, Prime Video"
The First Responders Season 2,"Action, Thriller, Mystery, Drama","Disney+, Disney+ Hotstar, Hulu, Wavve"
Hotel del Luna,"Horror, Comedy, Romance, Fantasy","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, Prime Video, VIU Indonesia"
Live,"Romance, Life, Drama","Netflix, iQIYI, Tubi, Roku"
