title,genres,where_to_watch
Juvenile Justice,"Law, Drama",Netflix
All of Us Are Dead,"Action, Thriller, Horror, Sci-Fi",Netflix
Go Back Couple,"Comedy, Romance, Life, Fantasy",Netflix
My Liberation Notes,"Romance, Life, Drama, Melodrama",Netflix
Duty after School: Part 1,"Action, Thriller, Drama, Sci-Fi",VIU Indonesia
Once Again,"Comedy, Romance, Life, Drama",Apple TV
Good Manager,"Business, Comedy, Crime, Drama",Netflix
Big Mouth,"Thriller, Mystery, Law, Drama",Apple TV
Stranger Season 2,"Thriller, Mystery, Law, Drama",Netflix
My Father Is Strange,"Comedy, Romance, Drama",Apple TV
Blind,"Thriller, Mystery, Drama",Apple TV
Vigilante,"Action, Thriller, Psychological, Crime",Disney+
Designated Survivor: 60 Days,"Thriller, Mystery, Drama, Political",Netflix
Bad and Crazy,"Action, Thriller, Mystery, Comedy",Netflix
Money Heist: Korea - Joint Economic Area - Part 2,"Action, Thriller, Mystery, Crime",Netflix
Beautiful World,"Thriller, Mystery, Life, Melodrama",Disney+ Hotstar
Age of Youth,"Comedy, Romance, Life, Drama",Apple TV
Arthdal Chronicles Part 1: The Children of Prophecy,"Historical, Romance, Fantasy, Political",Netflix
Vagabond,"Action, Thriller, Mystery, Crime",Netflix
Rebel: Thief Who Stole the People,"Action, Thriller, Historical",Netflix
Voice,"Thriller, Mystery, Psychological, Supernatural",Apple TV
Reborn Rich,"Business, Drama, Fantasy, Political",Apple TV
"Hi Bye, Mama!","Drama, Family, Melodrama, Supernatural",Netflix
Avengers Social Club,"Comedy, Life, Drama",Apple TV
Just Between Lovers,"Psychological, Romance, Melodrama",Apple TV
One Dollar Lawyer,"Comedy, Law, Drama",Disney+ Hotstar
What's Wrong with Secretary Kim,"Business, Comedy, Romance",Apple TV
Perfect Marriage Revenge,"Business, Romance, Drama, Fantasy",Viki
365: Repeat the Year,"Thriller, Mystery, Drama, Fantasy",Viki
Boyhood,"Action, Thriller, Comedy, Youth",Tubi
Mystic Pop-Up Bar,"Mystery, Comedy, Drama, Fantasy",Netflix
Revenge of Others,"Action, Thriller, Mystery, Drama",Apple TV
Doctor John,"Mystery, Romance, Life, Medical",Apple TV
Save Me,"Action, Thriller, Mystery, Drama",Apple TV
Nobody Knows,"Thriller, Mystery, Drama, Melodrama",SBS World
W,"Thriller, Comedy, Romance, Fantasy",Apple TV
Fight for My Way,"Business, Comedy, Romance, Sports",Apple TV
Kairos,"Action, Thriller, Drama, Sci-Fi",Apple TV
Partners for Justice,"Thriller, Mystery, Law, Medical",Apple TV
Little Women,"Action, Thriller, Mystery, Drama",Netflix
Voice Season 2,"Thriller, Mystery, Psychological, Supernatural",Apple TV
Recipe for Farewell,"Food, Life, Drama",Viki
Love to Hate You,"Comedy, Law, Romance",Netflix
Doom at Your Service,"Comedy, Romance, Drama, Fantasy",Apple TV
Thirty but Seventeen,"Music, Mystery, Comedy, Romance",Apple TV
Mad for Each Other,"Comedy, Romance, Drama",Netflix
Squid Game,"Action, Thriller, Mystery, Drama",Netflix
Itaewon Class,"Business, Romance, Life, Drama",Netflix
One Ordinary Day,"Thriller, Mystery, Law, Crime",VIU Indonesia
Tell Me That You Love Me,"Romance, Life, Drama, Melodrama",Disney+ Hotstar
Pachinko,"Historical, Romance, Drama, Melodrama",Apple TV
"It's Okay, That's Friendship","Comedy, Life",nan
Love All Play,"Romance, Drama, Sports, Melodrama",Apple TV
Because This Is My First Life,"Comedy, Romance, Life, Drama",Apple TV
Castaway Diva,"Music, Comedy, Romance, Drama",Netflix
Gyeongseong Creature,"Action, Thriller, Historical, Sci-Fi",Netflix
Dali and the Cocky Prince,"Comedy, Romance, Drama",Netflix
Lost,"Life, Drama, Melodrama",iQIYI
Angel's Last Mission: Love,"Comedy, Romance, Drama, Fantasy",Apple TV
Circle,"Thriller, Mystery, Sci-Fi",Apple TV
Seasons of Blossom,"Romance, Youth, Drama",Viki
If You Wish Upon Me,"Romance, Life, Drama, Medical",Viki
Summer Strike,"Life, Drama, Melodrama",Apple TV
Snowdrop,"Romance, Drama, Melodrama, Political",Apple TV
The Crowned Clown,"Historical, Romance, Melodrama, Political",Netflix
Duel,"Thriller, Mystery, Sci-Fi",Apple TV
"Work Later, Drink Now","Comedy, Life, Drama",Apple TV
When the Camellia Blooms,"Thriller, Comedy, Romance, Drama",Netflix
Player,"Action, Thriller, Mystery, Comedy",Apple TV
See You in My 19th Life,"Comedy, Romance, Drama, Fantasy",Netflix
